Users,ScreenUsage,HeartRate, ActivFit, storage, Notif, BatterySensor, Bluetooth, LightSensor, Activity,SA,Errors
7e605421cf9a86f7,15.0,15.0,0.0,0.0,15.0,15.0,15.0,15.0,0.0,15.0,1.0
b97e67bdc81cd49c,31.0,31.0,0.0,0.0,0.0,32.0,19.0,32.0,0.0,32.0,1.0
8268fe8d46d3e4bb,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
9870b38614ac6043,138.0,137.0,49.0,0.0,134.0,140.0,117.0,140.0,49.0,140.0,0.0
6fafa1a728b7846d,61.0,61.0,0.0,0.0,0.0,64.0,62.0,64.0,0.0,64.0,1.0
aecf254a0fad7d19,53.0,54.0,0.0,0.0,33.0,55.0,42.0,55.0,0.0,55.0,1.0
5d38c1fcc74d8570,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0
267ebd83542768a1,36.0,36.0,34.0,0.0,36.0,36.0,36.0,0.0,34.0,36.0,6.0
b3bfddcfd19ac531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2684f51645477782,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,1.0
b58c515df27266a0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78c70e9e1a2b86f7,13.0,13.0,2.0,0.0,0.0,13.0,13.0,13.0,2.0,13.0,1.0
1ae704e7f8f91188,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
b46459187576ea38,3.0,0.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0
a9a224d377ce03ed,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
62f521764001569b,2.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0
db56698c036d817e,20.0,20.0,2.0,0.0,0.0,24.0,16.0,24.0,2.0,24.0,1.0
195b70eb124cbec6,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0
3772a5cc564bc9eb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43a05086ccde3337,57.0,57.0,0.0,0.0,51.0,57.0,55.0,57.0,0.0,57.0,2.0
43771e85723d8ee2,27.0,27.0,5.0,0.0,27.0,27.0,27.0,27.0,0.0,27.0,0.0
6c3297d8a10d6cf0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,1.0
f6ae4e9cb5218cc0,74.0,20.0,72.0,0.0,74.0,74.0,73.0,0.0,72.0,74.0,1.0
a9ce5bf88e58c21a,25.0,27.0,0.0,0.0,0.0,31.0,28.0,0.0,0.0,31.0,1.0
